"eventID ","case Spend area text","case Company","case Document Type","case Sub spend area text","case Purchasing Document","case Purch. Doc. Category name","case Vendor","case Item Type","case Item Category","case Spend classification text","case Source","case Name","case GR-Based Inv. Verif.","case Item","case concept:name","case Goods Receipt","event User","event org:resource","event concept:name","event Cumulative net worth (EUR)","event time:timestamp"
"52458730553344","CAPEX & SOCS","companyID_0000","Framework order","MRO (components)","4507003966","Purchase order","vendorID_0886","Service","3-way match, invoice after GR","NPR","sourceSystemID_0000","vendor_0846","true","00010","4507003966_00010","true","NONE","NONE","Vendor creates invoice","5322.0","30-11-2015 23:59:00.000"
"52458730553345","CAPEX & SOCS","companyID_0000","Framework order","MRO (components)","4507003966","Purchase order","vendorID_0886","Service","3-way match, invoice after GR","NPR","sourceSystemID_0000","vendor_0846","true","00010","4507003966_00010","true","NONE","NONE","Vendor creates invoice","5322.0","31-12-2015 23:59:00.000"
"52458730553346","CAPEX & SOCS","companyID_0000","Framework order","MRO (components)","4507003966","Purchase order","vendorID_0886","Service","3-way match, invoice after GR","NPR","sourceSystemID_0000","vendor_0846","true","00010","4507003966_00010","true","NONE","NONE","Vendor creates invoice","5322.0","30-01-2016 23:59:00.000"
"52458730553347","CAPEX & SOCS","companyID_0000","Framework order","MRO (components)","4507003966","Purchase order","vendorID_0886","Service","3-way match, invoice after GR","NPR","sourceSystemID_0000","vendor_0846","true","00010","4507003966_00010","true","NONE","NONE","Vendor creates invoice","5322.0","29-02-2016 23:59:00.000"
"52458730553348","CAPEX & SOCS","companyID_0000","Framework order","MRO (components)","4507003966","Purchase order","vendorID_0886","Service","3-way match, invoice after GR","NPR","sourceSystemID_0000","vendor_0846","true","00010","4507003966_00010","true","NONE","NONE","Vendor creates invoice","5322.0","30-04-2016 23:59:00.000"
"52458730553349","CAPEX & SOCS","companyID_0000","Framework order","MRO (components)","4507003966","Purchase order","vendorID_0886","Service","3-way match, invoice after GR","NPR","sourceSystemID_0000","vendor_0846","true","00010","4507003966_00010","true","NONE","NONE","Vendor creates invoice","5322.0","30-11-2016 23:59:00.000"
"1078410453450752","Real Estate","companyID_0000","Framework order","Real estate brokers or agents","4508076155","Purchase order","vendorID_1864","Limit","2-way match","NPR","sourceSystemID_0000","vendor_1788","false","00010","4508076155_00010","false","NONE","NONE","Vendor creates invoice","1887.0","25-01-2017 23:59:00.000"
"1076932984700928","Real Estate","companyID_0000","Framework order","Real Estate - To Be Approved","4507075969","Purchase order","vendorID_1691","Limit","2-way match","NPR","sourceSystemID_0000","vendor_1615","false","00020","4507075969_00020","false","NONE","NONE","Vendor creates invoice","694.0","18-08-2017 23:59:00.000"
"1078419043385344","Real Estate","companyID_0000","Framework order","Real estate brokers or agents","4508076155","Purchase order","vendorID_1864","Limit","2-way match","NPR","sourceSystemID_0000","vendor_1788","false","00030","4508076155_00030","false","NONE","NONE","Vendor creates invoice","1887.0","08-09-2017 23:59:00.000"
"1077018884046848","Enterprise Services","companyID_0000","Framework order","Insurances","4507075975","Purchase order","vendorID_1697","Limit","2-way match","NPR","sourceSystemID_0000","vendor_1621","false","00020","4507075975_00020","false","NONE","NONE","Vendor creates invoice","1314.0","25-09-2017 23:59:00.000"
