cID,PO,company_original,spend_area,sub_spend_area,vendor,item_cat,company_neu
4508076155_00010,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4507075969_00020,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,2-way match,companyID_0000
4508076155_00030,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4507075975_00020,4507075975,companyID_0003,Enterprise Services,Insurances,vendorID_1697,2-way match,companyID_0000
4507075969_00040,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,2-way match,companyID_0000
4507075965_00250,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075966_00010,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00020,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4508076155_00040,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4507075969_00010,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,2-way match,companyID_0000
4507075965_00010,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00020,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075968_00010,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075965_00090,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00070,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00080,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00060,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00170,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00100,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00050,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00110,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00040,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00120,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00240,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00130,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00230,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00220,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00140,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00150,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00210,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00200,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00190,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00180,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00160,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00030,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075965_00260,4507075965,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4507075966_00060,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00070,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00050,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00040,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00030,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00080,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00090,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00100,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075966_00110,4507075966,companyID_0003,Real Estate,Business park,vendorID_1688,2-way match,companyID_0000
4507075967_00010,4507075967,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507075967_00020,4507075967,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507075967_00040,4507075967,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507075967_00030,4507075967,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507075968_00070,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00040,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00030,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00020,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00050,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00060,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00080,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075968_00090,4507075968,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075973_00010,4507075973,companyID_0003,Real Estate,Escrow and title services,vendorID_1695,2-way match,companyID_0000
4507075969_00030,4507075969,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1691,2-way match,companyID_0000
4507076139_00010,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507075970_00010,4507075970,companyID_0003,Real Estate,Real estate services,vendorID_1692,2-way match,companyID_0000
