datei,typ,vertrag,vendor,warengruppe,pflicht,id,finding,cID,PO
vertraege/RV-2018-01_Aurinbond.pdf,rahmenvertrag,RV-2018-01,vendorID_0159,Pure Acrylics,"['30', '3,0', '90']",,,,
vertraege/RV-2018-02_Ardennsolvent.pdf,rahmenvertrag,RV-2018-02,vendorID_0183,Pure Acrylics,"['30', '3,0', '90']",,,,
vertraege/RV-2018-03_Vitrumbond.pdf,rahmenvertrag,RV-2018-03,vendorID_0262,Pure Acrylics,"['30', '3,0', '90']",,,,
vertraege/RV-2018-04_Kepleracryl.pdf,rahmenvertrag,RV-2018-04,vendorID_0184,Styrene Acrylics,"['30', '3,0', '90']",,,,
vertraege/RV-2018-05_Kepleracryl.pdf,rahmenvertrag,RV-2018-05,vendorID_0166,Styrene Acrylics,"['30', '3,0', '90']",,,,
vertraege/RV-2018-06_Vitrumchem.pdf,rahmenvertrag,RV-2018-06,vendorID_0963,Chloride,"['30', '3,0', '90']",,,,
vertraege/RV-2018-07_Keplervinyl.pdf,rahmenvertrag,RV-2018-07,vendorID_0479,Chloride,"['30', '3,0', '90']",,,,
vertraege/RV-2018-08_Ardennpigment.pdf,rahmenvertrag,RV-2018-08,vendorID_0939,Chloride,"['30', '3,0', '90']",,,,
vertraege/RV-2018-09_Sellachem.pdf,rahmenvertrag,RV-2018-09,vendorID_1100,Aliphatic Solvents,"['30', '3,0', '90']",,,,
vertraege/RV-2018-10_Lyraplast.pdf,rahmenvertrag,RV-2018-10,vendorID_0818,Aliphatic Solvents,"['30', '3,0', '90']",,,,
vertraege/RV-2018-11_Kymenchem.pdf,rahmenvertrag,RV-2018-11,vendorID_0390,Aliphatic Solvents,"['30', '3,0', '90']",,,,
vertraege/RV-2018-12_Alpenmer.pdf,rahmenvertrag,RV-2018-12,vendorID_0558,Aliphatic Solvents,"['30', '3,0', '90']",,,,
vertraege/RV-2018-13_Alpenpolymer.pdf,rahmenvertrag,RV-2018-13,vendorID_0237,MRO (components),"['30', '3,0', '45']",,,,
richtlinien/EK-RL-2017-01.pdf,richtlinie,,,,[],EK-RL-2017-01,,,
richtlinien/LQ-RL-2017-01.pdf,richtlinie,,,,[],LQ-RL-2017-01,,,
richtlinien/RP-RL-2017-01.pdf,richtlinie,,,,[],RP-RL-2017-01,,,
lieferantenprofile/LP_vendorID_0011.pdf,lieferantenprofil,,vendorID_0011,,['vendorID_0011'],,,,
lieferantenprofile/LP_vendorID_0050.pdf,lieferantenprofil,,vendorID_0050,,['vendorID_0050'],,,,
lieferantenprofile/LP_vendorID_0064.pdf,lieferantenprofil,,vendorID_0064,,['vendorID_0064'],,,,
lieferantenprofile/LP_vendorID_0077.pdf,lieferantenprofil,,vendorID_0077,,['vendorID_0077'],,,,
lieferantenprofile/LP_vendorID_0083.pdf,lieferantenprofil,,vendorID_0083,,['vendorID_0083'],,,,
lieferantenprofile/LP_vendorID_0107.pdf,lieferantenprofil,,vendorID_0107,,"['vendorID_0107', '13.10.2019']",,,,
lieferantenprofile/LP_vendorID_0109.pdf,lieferantenprofil,,vendorID_0109,,"['vendorID_0109', '21.08.2018']",,,,
lieferantenprofile/LP_vendorID_0132.pdf,lieferantenprofil,,vendorID_0132,,['vendorID_0132'],,,,
lieferantenprofile/LP_vendorID_0139.pdf,lieferantenprofil,,vendorID_0139,,"['vendorID_0139', '02.08.2020']",,,,
lieferantenprofile/LP_vendorID_0146.pdf,lieferantenprofil,,vendorID_0146,,"['vendorID_0146', '11.07.2020']",,,,
lieferantenprofile/LP_vendorID_0159.pdf,lieferantenprofil,,vendorID_0159,,"['vendorID_0159', '31.07.2020']",,,,
lieferantenprofile/LP_vendorID_0166.pdf,lieferantenprofil,,vendorID_0166,,"['vendorID_0166', '21.03.2021']",,,,
lieferantenprofile/LP_vendorID_0171.pdf,lieferantenprofil,,vendorID_0171,,"['vendorID_0171', '03.07.2019']",,,,
lieferantenprofile/LP_vendorID_0173.pdf,lieferantenprofil,,vendorID_0173,,"['vendorID_0173', '06.02.2018']",,,,
lieferantenprofile/LP_vendorID_0183.pdf,lieferantenprofil,,vendorID_0183,,"['vendorID_0183', '05.09.2019']",,,,
lieferantenprofile/LP_vendorID_0184.pdf,lieferantenprofil,,vendorID_0184,,"['vendorID_0184', '28.04.2020']",,,,
lieferantenprofile/LP_vendorID_0189.pdf,lieferantenprofil,,vendorID_0189,,"['vendorID_0189', '06.09.2018']",,,,
