vendor,vendor_name,positionen,bestellungen,warengruppen,volumen_eur,erste_bestellung,letzte_bestellung,f1_strikt,f2,hauptwarengruppe
vendorID_0184,vendor_0164,441,432,3,18459782.0,2018-01-02 13:40:00,2018-09-28 13:33:00,4,8,Styrene Acrylics
vendorID_0963,vendor_0920,178,163,1,18242759.0,2018-01-25 13:54:00,2018-09-28 12:44:00,0,0,Chloride
vendorID_0479,vendor_0143,118,118,1,15268172.0,2018-01-05 08:34:00,2018-09-26 09:46:00,48,0,Chloride
vendorID_0166,vendor_0164,452,352,12,13237586.0,2018-01-03 09:27:00,2018-09-26 15:23:00,28,5,Styrene Acrylics
vendorID_0939,vendor_0896,107,102,2,10030662.0,2018-01-23 19:18:00,2018-09-27 11:52:00,15,0,Chloride
vendorID_0159,vendor_0157,191,191,1,9574683.0,2018-01-04 13:03:00,2018-09-25 15:42:00,7,0,Pure Acrylics
vendorID_0183,vendor_0181,213,172,4,8692997.0,2018-01-02 13:34:00,2018-09-26 14:59:00,23,3,Pure Acrylics
vendorID_0193,vendor_0190,121,114,2,5148230.0,2018-01-04 13:00:00,2018-09-27 09:14:00,9,0,Styrene Acrylics
vendorID_0262,vendor_0255,77,58,1,3900400.0,2018-01-03 09:28:00,2018-09-20 08:42:00,0,0,Pure Acrylics
vendorID_1100,vendor_1047,80,80,1,2699391.0,2018-02-09 12:53:00,2018-09-28 09:15:00,5,0,Aliphatic Solvents
vendorID_0818,vendor_0778,66,62,1,2269495.0,2018-01-15 15:16:00,2018-09-27 08:50:00,17,0,Aliphatic Solvents
vendorID_0390,vendor_0379,68,68,1,1894160.0,2018-01-08 14:29:00,2018-09-19 09:19:00,0,0,Aliphatic Solvents
vendorID_0558,vendor_0542,70,70,1,1779215.0,2018-01-08 09:44:00,2018-09-28 12:49:00,11,0,Aliphatic Solvents
vendorID_0615,vendor_0594,69,49,3,1690745.0,2018-01-09 11:00:00,2018-09-18 11:10:00,6,0,Pure Acrylics
vendorID_0488,vendor_0472,156,42,5,1686663.0,2018-01-05 10:12:00,2018-09-17 10:50:00,29,0,Pure Acrylics
vendorID_0327,vendor_0318,21,14,2,1570645.0,2018-01-03 14:02:00,2018-09-24 14:32:00,0,0,Chloride
vendorID_0448,vendor_0435,49,47,2,1473597.0,2018-01-04 15:14:00,2018-10-23 15:38:00,4,0,Styrene Acrylics
vendorID_0484,vendor_0468,176,145,2,1386222.0,2018-01-05 09:22:00,2018-09-26 14:37:00,6,0,Pure Acrylics
vendorID_0819,vendor_0779,170,168,1,1371927.0,2018-01-15 17:50:00,2018-09-26 11:01:00,0,0,Chloride
vendorID_0267,vendor_0260,83,63,3,1342349.0,2018-01-03 09:44:00,2018-09-24 11:19:00,3,0,Styrene Acrylics
vendorID_0300,vendor_0291,109,83,7,1341981.0,2018-01-04 10:58:00,2018-09-25 11:57:00,22,0,Styrene Acrylics
vendorID_0433,vendor_0421,77,30,4,1268962.0,2018-01-08 08:43:00,2018-09-21 13:05:00,5,0,Pure Acrylics
vendorID_0271,vendor_0188,44,42,4,1059626.0,2018-01-05 08:41:00,2018-09-28 08:39:00,0,0,Styrene Acrylics
vendorID_0251,vendor_0062,79,62,4,1059257.0,2018-01-05 11:43:00,2018-09-26 09:24:00,10,1,Pure Acrylics
vendorID_0237,vendor_0232,1547,144,1,1034857.0,2018-01-03 08:01:00,2018-09-28 07:58:00,4,2,MRO (components)
vendorID_1689,vendor_1613,13,2,1,951867.0,2018-01-10 12:47:00,2019-01-16 12:10:00,0,0,Laboratory Supplies & Services
vendorID_0191,vendor_0188,40,38,2,910957.0,2018-01-08 11:56:00,2018-09-28 13:44:00,1,0,Styrene Acrylics
vendorID_0480,vendor_0464,34,33,1,840273.0,2018-01-05 08:35:00,2018-09-20 07:49:00,9,0,Styrene Acrylics
vendorID_0455,vendor_0441,44,26,3,821189.0,2018-01-04 15:46:00,2018-09-24 12:37:00,0,0,Pure Acrylics
vendorID_1745,vendor_1669,11,4,1,706776.0,2018-03-21 15:03:00,2018-10-31 12:32:00,1,0,Electricity
vendorID_0248,vendor_0243,20,20,1,667246.0,2018-01-03 10:29:00,2018-08-06 11:20:00,3,0,Aliphatic Solvents
vendorID_0146,vendor_0143,136,129,1,548501.0,2018-01-02 11:08:00,2018-09-26 10:35:00,2,0,Chloride
vendorID_1692,vendor_1616,3,1,1,524022.0,2018-02-23 09:24:00,2018-08-06 09:46:00,0,0,Real estate services
vendorID_0878,vendor_0838,9,9,2,467231.0,2018-01-18 10:23:00,2018-09-03 16:50:00,2,0,Pure Acrylics
vendorID_0967,vendor_0924,4,4,1,433148.0,2018-01-25 16:05:00,2018-07-30 16:02:00,0,0,Pure Acrylics
vendorID_0454,vendor_0190,18,17,1,383314.0,2018-01-10 08:36:00,2018-09-13 10:56:00,4,0,Styrene Acrylics
vendorID_0975,vendor_0932,10,9,2,379111.0,2018-01-31 16:26:00,2018-08-16 13:28:00,0,0,Pure Acrylics
vendorID_0821,vendor_0781,7,7,1,314813.0,2018-01-16 08:14:00,2018-08-14 12:13:00,1,0,Chloride
vendorID_0483,vendor_0467,36,14,3,306385.0,2018-01-05 09:03:00,2018-09-25 10:37:00,0,1,Pure Acrylics
vendorID_0570,vendor_0219,22,12,3,275132.0,2018-01-08 11:14:00,2018-09-03 09:23:00,1,0,Pure Acrylics
vendorID_1259,vendor_1202,1,1,1,268467.0,2018-04-19 16:11:00,2018-04-19 16:11:00,1,0,MRO (components)
vendorID_0797,vendor_0759,11,11,1,254433.0,2018-01-15 09:26:00,2018-08-31 12:31:00,5,0,Chloride
vendorID_1687,vendor_1611,29,2,1,223282.0,2018-01-04 12:07:00,2018-11-26 11:55:00,0,0,Real estate brokers or agents
vendorID_0622,vendor_0599,6,6,1,199033.0,2018-01-09 11:26:00,2018-01-24 12:48:00,0,0,Aliphatic Solvents
vendorID_0139,vendor_0138,89,63,3,186122.0,2018-01-15 09:24:00,2018-08-29 09:45:00,0,0,Aliphatic Solvents
vendorID_0634,vendor_0611,26,13,3,183104.0,2018-01-12 13:27:00,2018-09-17 11:34:00,0,0,Pure Acrylics
vendorID_1853,vendor_1777,10,1,1,175995.0,2018-05-01 14:09:00,2019-01-15 10:59:00,0,0,Real estate services
vendorID_0648,vendor_0624,25,25,1,171360.0,2018-01-09 15:43:00,2018-09-06 11:01:00,1,1,MRO (components)
vendorID_1690,vendor_1614,24,6,1,161158.0,2018-01-22 08:33:00,2018-11-27 10:57:00,0,0,Real estate brokers or agents
vendorID_0660,vendor_0636,120,55,1,151834.0,2018-01-09 17:17:00,2018-09-25 10:08:00,0,28,MRO (components)
vendorID_0899,vendor_0858,10,10,1,148136.0,2018-01-19 13:56:00,2018-09-26 10:40:00,4,0,Chloride
vendorID_1008,vendor_0599,4,4,1,147588.0,2018-01-30 15:56:00,2018-07-24 15:25:00,0,0,Aliphatic Solvents
vendorID_1844,vendor_1768,23,1,1,144556.0,2018-04-16 08:22:00,2019-01-08 09:04:00,0,0,Real estate services
vendorID_1688,vendor_1612,11,1,1,140108.0,2018-01-04 15:48:00,2018-10-17 15:17:00,1,0,Business park
vendorID_0695,vendor_0667,11,5,3,135634.0,2018-02-19 17:37:00,2018-09-11 11:43:00,1,0,Polyurethane Resins
vendorID_1739,vendor_1663,7,1,1,127309.0,2018-03-16 08:56:00,2018-09-11 14:40:00,2,0,Real estate services
vendorID_1860,vendor_1784,25,1,1,127264.0,2018-06-07 12:41:00,2018-12-12 15:27:00,0,0,Real estate services
vendorID_0597,vendor_0578,20,20,1,123193.0,2018-01-09 07:22:00,2018-09-13 16:19:00,0,0,Pure Acrylics
vendorID_0189,vendor_0186,50,21,5,117968.0,2018-01-02 14:08:00,2018-09-19 13:44:00,0,0,Aliphatic Solvents
vendorID_0604,vendor_0585,54,20,1,113257.0,2018-01-09 08:43:00,2018-09-25 08:58:00,0,0,MRO (components)
vendorID_0171,vendor_0169,23,15,5,109094.0,2018-01-10 18:29:00,2018-09-07 12:30:00,0,0,Aliphatic Solvents
vendorID_0318,vendor_0309,47,45,1,109090.0,2018-01-03 13:54:00,2018-09-19 10:49:00,1,0,Chloride
vendorID_0666,vendor_0641,108,35,1,97295.0,2018-01-10 07:33:00,2018-09-24 08:13:00,0,0,MRO (components)
vendorID_0445,vendor_0432,59,42,5,88338.0,2018-01-25 08:57:00,2018-09-28 10:37:00,3,0,Aliphatic Solvents
vendorID_1695,vendor_1619,5,1,1,86507.0,2018-02-27 14:53:00,2018-11-29 14:13:00,0,0,Escrow and title services
vendorID_0107,vendor_0107,10,10,1,79461.0,2018-02-13 09:55:00,2018-08-31 09:20:00,2,0,Styrene Acrylics
vendorID_0485,vendor_0469,10,8,1,74266.0,2018-01-05 09:27:00,2018-08-20 09:17:00,0,0,MRO (components)
vendorID_1851,vendor_1775,23,3,1,68074.0,2018-04-19 11:01:00,2019-01-07 10:58:00,0,0,Real estate brokers or agents
vendorID_0625,vendor_0602,7,6,2,64982.0,2018-02-20 08:43:00,2018-08-27 09:15:00,0,0,Aliphatic Solvents
vendorID_0198,vendor_0195,17,6,4,62397.0,2018-01-23 13:00:00,2018-09-28 13:45:00,4,0,Glycol & Ether Solvents
vendorID_0519,vendor_0503,11,3,3,52900.0,2018-04-04 13:54:00,2018-08-27 09:43:00,2,0,Surfactants
vendorID_1864,vendor_1788,14,1,1,52405.0,2018-07-18 09:04:00,2018-08-31 13:54:00,0,0,Real estate brokers or agents
vendorID_1866,vendor_1790,1,1,1,51515.0,2018-08-01 09:52:00,2018-08-01 09:52:00,0,0,Real estate services
vendorID_1867,vendor_1791,2,1,1,49596.0,2018-08-01 10:37:00,2018-08-01 10:37:00,0,0,Real estate services
vendorID_1693,vendor_1617,6,1,1,44850.0,2018-02-23 11:16:00,2018-09-05 09:49:00,0,0,Real Estate - To Be Approved
vendorID_1873,vendor_1797,3,1,1,43142.0,2018-09-25 09:28:00,2018-11-15 15:00:00,0,0,Transport & Hoisting Equipment
vendorID_0252,vendor_0245,58,30,10,41411.0,2018-01-10 14:16:00,2018-09-18 15:29:00,2,0,Aliphatic Solvents
vendorID_0109,vendor_0109,13,13,1,37049.0,2018-01-08 08:35:00,2018-09-17 11:17:00,4,0,Aliphatic Solvents
vendorID_1856,vendor_1780,1,1,1,36580.0,2018-05-09 13:36:00,2018-05-09 13:36:00,0,0,Real estate services
vendorID_1855,vendor_1779,3,1,1,35120.0,2018-05-04 10:25:00,2018-10-08 14:33:00,0,0,Escrow and title services
vendorID_1028,vendor_0982,3,3,1,32491.0,2018-02-01 12:51:00,2018-08-14 11:43:00,1,0,MRO (components)
vendorID_0332,vendor_0323,2,2,1,31522.0,2018-02-05 16:11:00,2018-05-01 16:02:00,1,0,Chloride
vendorID_0405,vendor_0394,31,18,4,29220.0,2018-01-05 14:48:00,2018-09-11 13:23:00,0,0,Aliphatic Solvents
vendorID_1709,vendor_1633,1,1,1,25323.0,2018-03-08 12:57:00,2018-03-08 12:57:00,0,0,Laboratory Supplies & Services
vendorID_0341,vendor_0332,8,6,2,24700.0,2018-02-13 14:04:00,2018-09-25 10:53:00,0,0,Aliphatic Solvents
vendorID_1863,vendor_1787,2,1,1,23574.0,2018-07-03 08:40:00,2018-09-03 14:54:00,0,0,Real estate services
vendorID_1858,vendor_1782,2,1,1,23255.0,2018-05-21 15:12:00,2018-05-21 15:14:00,0,0,Real estate services
vendorID_0886,vendor_0846,1,1,1,21289.0,2018-01-19 06:37:00,2018-01-19 06:37:00,1,0,MRO (components)
vendorID_1861,vendor_1785,1,1,1,20656.0,2018-06-07 13:11:00,2018-06-07 13:11:00,0,0,Real estate services
vendorID_1852,vendor_1776,1,1,1,15962.0,2018-04-19 15:02:00,2018-04-19 15:02:00,0,0,Business park
vendorID_1868,vendor_1792,1,1,1,13710.0,2018-08-06 15:15:00,2018-08-06 15:15:00,0,0,Real estate brokers or agents
vendorID_1871,vendor_1795,3,1,1,13696.0,2018-09-03 15:10:00,2018-11-15 09:56:00,0,0,Real estate services
vendorID_1240,vendor_1184,12,4,1,12940.0,2018-03-22 13:41:00,2018-09-17 09:27:00,0,0,MRO (components)
vendorID_1872,vendor_1796,1,1,1,10535.0,2018-09-03 15:38:00,2018-09-03 15:38:00,0,0,Real estate services
vendorID_1744,vendor_1668,1,1,1,8973.0,2018-03-20 08:06:00,2018-03-20 08:06:00,0,0,Facility Management
vendorID_0132,vendor_0131,3,1,2,7831.0,2018-08-24 09:03:00,2018-08-29 09:39:00,0,0,Trading products (old structure)
vendorID_0011,vendor_0011,38,24,1,7416.0,2018-01-10 16:38:00,2018-09-27 12:49:00,0,0,MRO (components)
vendorID_0756,vendor_0721,15,12,2,7210.0,2018-01-12 07:48:00,2018-09-17 08:32:00,1,0,MRO (components)
vendorID_1531,vendor_1462,2,2,1,7170.0,2018-07-02 17:42:00,2018-07-18 14:38:00,1,0,Styrene Acrylics
vendorID_1455,vendor_1389,1,1,1,6694.0,2018-05-16 16:20:00,2018-05-16 16:20:00,0,0,Styrene Acrylics
vendorID_0273,vendor_0265,5,4,1,6458.0,2018-01-03 10:17:00,2018-05-03 14:58:00,0,0,MRO (components)
vendorID_0512,vendor_0496,28,21,3,5486.0,2018-01-05 15:02:00,2018-09-26 11:46:00,0,0,Styrene Acrylics
vendorID_1870,vendor_1794,2,1,1,5293.0,2018-08-15 12:54:00,2018-10-22 10:08:00,0,0,QHSE Services
vendorID_1002,vendor_0957,5,5,1,4110.0,2018-01-30 07:34:00,2018-06-14 07:43:00,0,0,MRO (components)
vendorID_1237,vendor_1181,1,1,1,4095.0,2018-03-21 15:55:00,2018-03-21 15:55:00,1,0,MRO (components)
vendorID_0768,vendor_0731,1,1,1,3706.0,2018-01-12 10:06:00,2018-01-12 10:06:00,0,0,Styrene Acrylics
vendorID_1352,vendor_1292,5,5,1,3657.0,2018-03-23 12:38:00,2018-08-29 13:47:00,0,0,MRO (components)
vendorID_0822,vendor_0782,1,1,1,3606.0,2018-04-26 07:54:00,2018-04-26 07:54:00,0,0,Pure Acrylics
vendorID_1691,vendor_1615,4,1,1,3002.0,2018-02-09 09:14:00,2018-10-31 09:09:00,0,0,Real Estate - To Be Approved
vendorID_1515,vendor_1447,2,1,1,2726.0,2018-06-06 11:02:00,2018-09-13 15:11:00,0,0,MRO (components)
vendorID_1697,vendor_1621,2,1,1,2628.0,2018-02-28 12:30:00,2018-04-24 08:28:00,0,0,Insurances
vendorID_1857,vendor_1781,1,1,1,2392.0,2018-05-09 16:12:00,2018-05-09 16:12:00,0,0,Insurances
vendorID_1862,vendor_1786,2,1,1,2073.0,2018-06-28 15:14:00,2018-07-24 10:16:00,0,0,Real estate services
vendorID_1854,vendor_1778,1,1,1,1773.0,2018-05-03 11:44:00,2018-05-03 11:44:00,0,0,Escrow and title services
vendorID_0083,vendor_0083,10,10,1,1636.0,2018-02-13 12:45:00,2018-07-20 16:54:00,0,0,MRO (components)
vendorID_0173,vendor_0171,1,1,1,1052.0,2018-09-13 10:29:00,2018-09-13 10:29:00,0,0,Aliphatic Solvents
vendorID_0077,vendor_0077,7,2,1,702.0,2018-02-09 09:56:00,2018-08-14 17:37:00,0,0,MRO (components)
vendorID_1746,vendor_1670,1,1,1,609.0,2018-03-28 16:48:00,2018-03-28 16:48:00,0,0,Real estate services
vendorID_1244,vendor_1188,5,3,1,576.0,2018-03-29 12:27:00,2018-07-10 13:26:00,0,0,MRO (components)
